PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",00-0000,All Occupations,total,"6,047,050",0.3,1000.000,1.00,26.94,"56,030",0.6,10.72,12.33,19.13,32.90,52.40,"22,310","25,640","39,800","68,440","109,000",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-0000,Management Occupations,major,"337,700",1.1,55.845,1.09,63.33,"131,740",0.6,24.03,35.74,54.81,79.29,#,"49,970","74,330","114,010","164,920",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-1011,Chief Executives,detailed,"10,620",2.8,1.756,1.19,113.81,"236,730",1.5,48.57,77.49,#,#,#,"101,040","161,190",#,#,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-1021,General and Operations Managers,detailed,"96,170",1.8,15.903,1.02,67.77,"140,970",1.0,24.63,35.96,55.58,88.13,#,"51,230","74,790","115,600","183,310",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-1031,Legislators,detailed,680,6.5,0.112,0.31,*,"72,510",4.2,*,*,*,*,*,"37,410","49,260","63,150","85,040","120,100",TRUE,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-2011,Advertising and Promotions Managers,detailed,"1,280",7.1,0.211,1.07,59.94,"124,680",3.9,26.10,40.82,53.43,68.40,#,"54,300","84,900","111,130","142,270",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-2021,Marketing Managers,detailed,"10,440",3.4,1.727,1.12,73.08,"152,000",1.2,34.80,47.02,67.03,90.61,#,"72,390","97,800","139,430","188,470",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-2022,Sales Managers,detailed,"27,920",2.8,4.618,1.77,63.38,"131,830",1.6,21.93,33.03,54.15,81.40,#,"45,620","68,700","112,640","169,320",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-2031,Public Relations and Fundraising Managers,detailed,"2,490",7.0,0.411,0.87,67.72,"140,860",2.2,34.61,46.79,62.04,78.74,#,"71,980","97,330","129,040","163,780",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3011,Administrative Services Managers,detailed,"15,520",2.8,2.567,1.35,54.79,"113,950",1.3,30.04,37.39,50.95,65.62,83.56,"62,480","77,780","105,980","136,490","173,810",,
